id	emotion
34170_0017_A_159	0.04632436856627464,0.062475718557834625,0.05546588823199272,0.09033597260713577,0.07956775277853012,0.18297149240970612
34170_0017_A_160	0.046317968517541885,0.06247034668922424,0.05547492578625679,0.09033159166574478,0.07960422337055206,0.18294142186641693
34170_0017_A_161	0.04628383740782738,0.062482841312885284,0.05547185614705086,0.09034449607133865,0.07955846935510635,0.18294896185398102
34170_0017_A_162	0.046359095722436905,0.06247160583734512,0.05548745393753052,0.09029185026884079,0.07964815944433212,0.18300475180149078
34170_0017_A_163	0.046250101178884506,0.06246259808540344,0.055364131927490234,0.09040168672800064,0.07954560220241547,0.18300682306289673
34170_0017_A_164	0.046316977590322495,0.06244578957557678,0.055451396852731705,0.09031535685062408,0.0796303004026413,0.18303780257701874
34170_0017_A_165	0.04635338857769966,0.06246680021286011,0.0555248036980629,0.0903097465634346,0.07964038848876953,0.18301361799240112
34170_0017_A_166	0.046279218047857285,0.06240914762020111,0.055495161563158035,0.09034666419029236,0.07957646250724792,0.18301355838775635
34170_0017_A_167	0.046319592744112015,0.06246139854192734,0.05545373260974884,0.09040915220975876,0.07961179316043854,0.18295122683048248
34170_0017_A_168	0.046286482363939285,0.062474898993968964,0.055462103337049484,0.09033744782209396,0.0796278640627861,0.18294638395309448
34170_0017_A_169	0.046328019350767136,0.06245221197605133,0.055470507591962814,0.0903182327747345,0.07960767298936844,0.18299876153469086
34170_0017_A_173	0.046305250376462936,0.06249607354402542,0.055438749492168427,0.09038766473531723,0.07955590635538101,0.182913675904274
34170_0017_A_170	0.04633710905909538,0.062435925006866455,0.055450018495321274,0.09031765162944794,0.07961586117744446,0.18296250700950623
34170_0017_A_172	0.04629715904593468,0.06248657405376434,0.0553993321955204,0.0904044434428215,0.07954750955104828,0.18296895921230316
34170_0017_A_175	0.046346452087163925,0.062452659010887146,0.055488549172878265,0.09034206718206406,0.07961279153823853,0.18291407823562622
34170_0017_A_176	0.046328138560056686,0.06248360127210617,0.05545156076550484,0.0903179794549942,0.07957773655653,0.18293829262256622
34170_0017_A_178	0.04629531130194664,0.062453314661979675,0.05542479082942009,0.09030018001794815,0.07959293574094772,0.18299756944179535
34170_0017_A_179	0.046298351138830185,0.062449127435684204,0.05547122657299042,0.0903143584728241,0.0795590877532959,0.18293984234333038
34170_0017_A_181	0.04629957303404808,0.0624363049864769,0.05548616871237755,0.09035288542509079,0.0796048566699028,0.1829884797334671
34170_0017_A_182	0.04626734182238579,0.06242125481367111,0.05544586479663849,0.09033987671136856,0.07957892119884491,0.18295089900493622
34170_0017_A_184	0.04630841687321663,0.06244410574436188,0.05546536296606064,0.0903102457523346,0.07960560917854309,0.1829751878976822
34170_0017_A_185	0.04627762362360954,0.06243095546960831,0.05547306314110756,0.09031148999929428,0.07961027324199677,0.18300312757492065
34170_0017_A_187	0.046295683830976486,0.0624808669090271,0.05544816330075264,0.09032084792852402,0.0795578733086586,0.18300402164459229
34170_0017_A_188	0.04635339602828026,0.06252223253250122,0.05541680380702019,0.0904105082154274,0.07963228970766068,0.1829097718000412
34170_0017_A_189	0.046253692358732224,0.06244958937168121,0.05546846240758896,0.09033196419477463,0.0795656368136406,0.18298988044261932
34170_0017_A_191	0.04632334038615227,0.06244569271802902,0.05548539385199547,0.09032576531171799,0.07968500256538391,0.18299955129623413
34170_0017_A_192	0.04627044126391411,0.06245037168264389,0.05543728172779083,0.09035412222146988,0.07961611449718475,0.18300122022628784
34170_0017_A_193	0.04632827267050743,0.06246401369571686,0.055473361164331436,0.09029994159936905,0.0796409398317337,0.1829100102186203
34170_0017_A_194	0.046323012560606,0.06243102252483368,0.05549676716327667,0.09034872055053711,0.07961295545101166,0.18299448490142822
34170_0017_A_195	0.04637308046221733,0.062441691756248474,0.055468108505010605,0.09037721902132034,0.07967431843280792,0.18297617137432098
34170_0017_A_196	0.04636989161372185,0.06243477761745453,0.05548436939716339,0.09033689647912979,0.07963354140520096,0.18298014998435974
34170_0017_A_198	0.04631636664271355,0.06244351714849472,0.05553184822201729,0.09034322947263718,0.07961943745613098,0.18298287689685822
34170_0017_A_199	0.04635142907500267,0.06240108609199524,0.05547414720058441,0.09028461575508118,0.07959304004907608,0.18299680948257446
34170_0017_A_200	0.04624458774924278,0.06246735155582428,0.0555146262049675,0.0903584361076355,0.0796043798327446,0.18294744193553925
34170_0019_A_207	0.0462794192135334,0.06249549984931946,0.0554811991751194,0.09029579907655716,0.07959520071744919,0.18300820887088776
34170_0019_A_208	0.04630231484770775,0.06244896352291107,0.05546003580093384,0.0902828499674797,0.07960910350084305,0.18299740552902222
34170_0019_A_209	0.046340461820364,0.06246192008256912,0.05548010766506195,0.09036411345005035,0.07957351952791214,0.1829720437526703
34170_0019_A_210	0.046299707144498825,0.062429383397102356,0.055488452315330505,0.0903114452958107,0.07961523532867432,0.18296363949775696
34170_0019_A_217	0.04627396538853645,0.06244393438100815,0.05536007881164551,0.09041249006986618,0.07957087457180023,0.18297436833381653
34170_0019_A_219	0.04633818939328194,0.062440983951091766,0.055436499416828156,0.09029445052146912,0.07957466691732407,0.18297399580478668
34170_0019_A_225	0.04634798690676689,0.06246497482061386,0.05549238994717598,0.09030124545097351,0.07961178570985794,0.18294554948806763
34170_0019_A_226	0.04628891870379448,0.06247315555810928,0.055435143411159515,0.09034474939107895,0.07955613732337952,0.18299530446529388
34170_0019_A_231	0.046341460198163986,0.062475837767124176,0.055521052330732346,0.09031597524881363,0.07962873578071594,0.1829148381948471
34170_0020_A_238	0.046306487172842026,0.06243666261434555,0.05546378344297409,0.09032252430915833,0.07961247116327286,0.18295328319072723
34170_0020_A_239	0.04627525433897972,0.062452130019664764,0.05551140010356903,0.09026534110307693,0.07965878397226334,0.18302497267723083
34170_0020_A_240	0.04631739482283592,0.06243092566728592,0.05550285428762436,0.0903356522321701,0.07962071895599365,0.18300087749958038
34170_0020_A_241	0.04635484144091606,0.06243504583835602,0.05548802390694618,0.09028815478086472,0.07964490354061127,0.1829526126384735
34170_0020_A_242	0.04632622376084328,0.06242435425519943,0.05547511205077171,0.09029243886470795,0.07959315180778503,0.18300165235996246
34170_0020_A_243	0.04629961773753166,0.06243293732404709,0.05546801537275314,0.09032560139894485,0.07958614826202393,0.18297484517097473
34170_0020_A_246	0.046230580657720566,0.0625050887465477,0.0554661899805069,0.09037820249795914,0.07957443594932556,0.18296049535274506
34170_0020_A_247	0.04629833623766899,0.06245239078998566,0.05547349527478218,0.09028928726911545,0.07962165027856827,0.1829834133386612
34170_0020_A_251	0.04631051793694496,0.06248074769973755,0.0555032342672348,0.09027885645627975,0.07963678240776062,0.18292656540870667
34170_0020_A_252	0.04632936045527458,0.062476806342601776,0.055512525141239166,0.09030646830797195,0.0796339139342308,0.1829710751771927
34170_0021_A_255	0.04628362879157066,0.062486402690410614,0.055519912391901016,0.09029949456453323,0.07955760508775711,0.18296848237514496
34170_0021_A_257	0.04630584642291069,0.0624464675784111,0.05541326850652695,0.09029941260814667,0.07956993579864502,0.18294619023799896
34170_0021_A_259	0.046329233795404434,0.062455229461193085,0.055459000170230865,0.09030631929636002,0.07955050468444824,0.1829976886510849
34170_0021_A_261	0.0463370643556118,0.062485627830028534,0.0555037185549736,0.09031476825475693,0.07959026098251343,0.18294170498847961
34170_0021_A_262	0.04630235955119133,0.06244403123855591,0.05551088973879814,0.09027617424726486,0.07966967672109604,0.18300487101078033
34170_0022_A_265	0.04634835943579674,0.06240805983543396,0.055556587874889374,0.0903146043419838,0.0795966386795044,0.18299436569213867
34170_0022_A_266	0.046341415494680405,0.06244916468858719,0.05548442155122757,0.0902780070900917,0.07960564643144608,0.18297266960144043
34170_0022_A_267	0.04629811272025108,0.0624530091881752,0.05552442744374275,0.09025440365076065,0.07965700328350067,0.18295416235923767
34170_0022_A_268	0.04629003629088402,0.06247024983167648,0.055494267493486404,0.0902937576174736,0.07961079478263855,0.18294589221477509
34170_0022_A_269	0.04629449173808098,0.06245572119951248,0.05547837167978287,0.09037493914365768,0.07964663952589035,0.1829552948474884
34170_0022_A_270	0.04630490019917488,0.06245337426662445,0.05551200360059738,0.09033302962779999,0.07964431494474411,0.1829456239938736
34170_0022_A_271	0.0463249646127224,0.062478095293045044,0.05546890199184418,0.09026973694562912,0.0796084776520729,0.18297526240348816
34170_0022_A_272	0.04632258042693138,0.06248810887336731,0.0554523803293705,0.09036962687969208,0.07965437322854996,0.18298469483852386
34170_0022_A_273	0.04633662477135658,0.06239554286003113,0.05550449341535568,0.09033412486314774,0.07964431494474411,0.18296931684017181
34170_0022_A_276	0.04635431244969368,0.062470823526382446,0.05552806705236435,0.09030940383672714,0.079661525785923,0.18300311267375946
34170_0022_A_279	0.0463033951818943,0.06244547665119171,0.05550828576087952,0.09032491594552994,0.079567551612854,0.18297381699085236
34170_0022_A_280	0.04635351523756981,0.06247088313102722,0.055500999093055725,0.09034474194049835,0.07958909869194031,0.18292874097824097
34170_0022_A_281	0.04631088301539421,0.06246357411146164,0.055537816137075424,0.09031382948160172,0.07962643355131149,0.18296003341674805
34170_0022_A_282	0.046315666288137436,0.06246902048587799,0.05549993738532066,0.09031081944704056,0.07956845313310623,0.18294639885425568
34170_0022_A_283	0.04632989689707756,0.06243289262056351,0.055485259741544724,0.09035983681678772,0.0795975849032402,0.18294145166873932
34170_0022_A_284	0.04633639380335808,0.0624491348862648,0.05544127896428108,0.0903283879160881,0.07960795611143112,0.18298190832138062
34170_0022_A_285	0.046340007334947586,0.062450386583805084,0.0554484948515892,0.09029904752969742,0.07956337928771973,0.18295536935329437
34170_0022_A_286	0.04633639380335808,0.0624491348862648,0.05544127896428108,0.0903283879160881,0.07960795611143112,0.18298190832138062
34170_0022_A_287	0.04632633551955223,0.0624811127781868,0.05550453066825867,0.09030463546514511,0.07958278059959412,0.18296083807945251
34170_0022_A_288	0.04631130024790764,0.062464699149131775,0.055452022701501846,0.09036259353160858,0.07960312813520432,0.18293441832065582
34170_0022_A_291	0.04628990218043327,0.0624278262257576,0.05544189736247063,0.09031597524881363,0.07959278672933578,0.18294061720371246
34170_0022_A_292	0.04632868990302086,0.062468260526657104,0.055437639355659485,0.09036203473806381,0.07955778390169144,0.18296979367733002
34170_0022_A_293	0.04631773754954338,0.062468916177749634,0.05544194206595421,0.09031865745782852,0.07958167791366577,0.18297605216503143
34170_0022_A_302	0.04633220657706261,0.06247340142726898,0.055473703891038895,0.09036222845315933,0.07951955497264862,0.18295913934707642
34170_0022_A_295	0.04631280526518822,0.06245321035385132,0.055496834218502045,0.09026160091161728,0.07959019392728806,0.1829553097486496
34170_0022_A_298	0.046306248754262924,0.06241961568593979,0.0555330254137516,0.09028922766447067,0.0796094611287117,0.18302693963050842
34170_0022_A_299	0.046345386654138565,0.06244002282619476,0.055510811507701874,0.09036185592412949,0.07958386093378067,0.18293948471546173
34170_0022_A_300	0.04635577276349068,0.06245865672826767,0.05549382045865059,0.0903005376458168,0.07960475981235504,0.1829845905303955
34170_0022_A_301	0.04632900282740593,0.06245525926351547,0.05547018721699715,0.09031041711568832,0.07959696650505066,0.1829807609319687
34170_0022_A_303	0.046279821544885635,0.062452398240566254,0.055471956729888916,0.09031250327825546,0.07964766025543213,0.1829707771539688
34170_0022_A_304	0.04634658619761467,0.062417104840278625,0.05547500029206276,0.09029854834079742,0.0796252191066742,0.18296650052070618
34170_0022_A_305	0.04632234200835228,0.06244470179080963,0.05546439439058304,0.0903022438287735,0.07959529012441635,0.1829887330532074
34170_0022_A_308	0.046380143612623215,0.062450289726257324,0.055476702749729156,0.09028445929288864,0.07963266223669052,0.18299348652362823
34170_0022_A_309	0.04634740576148033,0.06241827458143234,0.055493008345365524,0.0903194472193718,0.07956492900848389,0.18301185965538025
34170_0022_A_310	0.04633055254817009,0.06246993690729141,0.05546456575393677,0.09032557904720306,0.07958519458770752,0.1829325258731842
34170_0022_A_311	0.046304818242788315,0.062453292310237885,0.05546296760439873,0.09031546115875244,0.0796271413564682,0.18297621607780457
34170_0022_A_312	0.046296682208776474,0.06241477280855179,0.055432211607694626,0.0902998298406601,0.07960209250450134,0.18298178911209106
34170_0022_A_315	0.04624352231621742,0.06246647983789444,0.05548530071973801,0.09026391059160233,0.07958816736936569,0.1829656958580017
34170_0022_A_316	0.04630808159708977,0.06242453306913376,0.05544408783316612,0.09031683951616287,0.0796394795179367,0.18297778069972992
34170_0022_A_319	0.04631130024790764,0.062464699149131775,0.055452022701501846,0.09036259353160858,0.07960312813520432,0.18293441832065582
34170_0022_A_322	0.046294908970594406,0.06248673051595688,0.05547863617539406,0.09030553698539734,0.07957405596971512,0.182994082570076
34170_0022_A_323	0.046383511275053024,0.06244790554046631,0.05551048368215561,0.09029814600944519,0.07962998747825623,0.18294928967952728
34170_0022_A_324	0.04638605937361717,0.06242508441209793,0.05552588775753975,0.09031423926353455,0.07962233573198318,0.18291223049163818
34170_0022_A_327	0.04636963829398155,0.06238941103219986,0.0554526150226593,0.09030194580554962,0.0796356052160263,0.1830117255449295
34170_0022_A_328	0.04633795842528343,0.0624440461397171,0.05543604865670204,0.09034208208322525,0.07957968860864639,0.18294547498226166
34170_0022_A_329	0.04634740576148033,0.06241827458143234,0.055493008345365524,0.0903194472193718,0.07956492900848389,0.18301185965538025
34170_0022_A_330	0.04633443430066109,0.06242012977600098,0.055495213717222214,0.0903623029589653,0.07956025749444962,0.18299655616283417
34170_0022_A_331	0.04631732031702995,0.06246548891067505,0.05547364056110382,0.09032776206731796,0.07958381623029709,0.18295636773109436
34170_0022_A_334	0.046288441866636276,0.06250014156103134,0.05545739084482193,0.0903683453798294,0.07962468266487122,0.1829921454191208
